时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 22:28,武汉,35991,0,1016,2016
2020/02/13 22:28,孝感,3009,0,57,255
2020/02/13 22:28,黄冈,2791,0,59,504
2020/02/13 22:28,荆州,1447,0,27,158
2020/02/13 22:28,随州,1206,0,16,72
2020/02/13 22:28,襄阳,1111,0,16,73
2020/02/13 22:28,鄂州,1125,0,32,116
2020/02/13 22:28,黄石,943,0,11,137
2020/02/13 22:28,宜昌,877,0,13,81
2020/02/13 22:28,荆门,901,0,25,105
2020/02/13 22:28,咸宁,732,0,8,99
2020/02/13 22:28,十堰,586,0,2,89
2020/02/13 22:28,仙桃,500,0,17,58
2020/02/13 22:28,天门,416,0,10,21
2020/02/13 22:28,恩施州,237,0,4,58
2020/02/13 22:28,潜江,104,0,5,11
2020/02/13 22:28,神农架林区,10,0,0,8
2020/02/13 22:00,武汉,35991,0,1016,2286
2020/02/13 22:00,孝感,3009,0,57,255
2020/02/13 22:00,黄冈,2791,0,59,504
2020/02/13 22:00,荆州,1447,0,27,158
2020/02/13 22:00,随州,1206,0,16,72
2020/02/13 22:00,襄阳,1111,0,16,73
2020/02/13 22:00,鄂州,1125,0,32,116
2020/02/13 22:00,黄石,943,0,11,137
2020/02/13 22:00,宜昌,877,0,13,81
2020/02/13 22:00,荆门,901,0,25,105
2020/02/13 22:00,咸宁,732,0,8,99
2020/02/13 22:00,十堰,586,0,2,89
2020/02/13 22:00,仙桃,500,0,17,58
2020/02/13 22:00,天门,416,0,10,21
2020/02/13 22:00,恩施州,237,0,4,58
2020/02/13 22:00,潜江,104,0,5,11
2020/02/13 22:00,神农架林区,10,0,0,8
2020/02/13 19:10,武汉,35991,0,1124,2286
2020/02/13 19:10,孝感,3009,0,57,255
2020/02/13 19:10,黄冈,2791,0,59,504
2020/02/13 19:10,荆州,1447,0,27,158
2020/02/13 19:10,随州,1206,0,16,72
2020/02/13 19:10,襄阳,1111,0,16,73
2020/02/13 19:10,鄂州,1125,0,32,116
2020/02/13 19:10,黄石,943,0,11,137
2020/02/13 19:10,宜昌,877,0,13,81
2020/02/13 19:10,荆门,901,0,25,105
2020/02/13 19:10,咸宁,732,0,8,99
2020/02/13 19:10,十堰,586,0,2,89
2020/02/13 19:10,仙桃,500,0,17,58
2020/02/13 19:10,天门,416,0,10,21
2020/02/13 19:10,恩施州,237,0,4,58
2020/02/13 19:10,潜江,104,0,5,11
2020/02/13 19:10,神农架林区,10,0,0,8
2020/02/13 09:12,武汉,32994,0,1036,1923
2020/02/13 09:12,孝感,2874,0,49,209
2020/02/13 09:12,黄冈,2662,0,58,427
2020/02/13 09:12,荆州,1431,0,23,104
2020/02/13 09:12,随州,1160,0,14,62
2020/02/13 09:12,襄阳,1101,0,13,66
2020/02/13 09:12,鄂州,1065,0,30,97
2020/02/13 09:12,荆门,927,0,24,93
2020/02/13 09:12,黄石,911,0,9,115
2020/02/13 09:12,宜昌,810,0,11,72
2020/02/13 09:12,十堰,562,0,1,81
2020/02/13 09:12,咸宁,534,0,7,85
2020/02/13 09:12,仙桃,480,0,16,48
2020/02/13 09:12,天门,362,0,10,13
2020/02/13 09:12,恩施州,229,0,4,48
2020/02/13 09:12,潜江,94,0,5,8
2020/02/13 09:12,神农架林区,10,0,0,8
2020/02/13 08:29,武汉,32994,0,1036,1923
2020/02/13 08:29,孝感,2874,0,49,209
